freq_hz,mag_db
1.476945605468750000e+04,-6.156053066253662109e+00
1.478107324218750000e+04,-6.162580490112304688e+00
1.479269921875000000e+04,-6.147300720214843750e+00
1.480433398437500000e+04,-6.179619789123535156e+00
1.481597851562500000e+04,-6.154199600219726562e+00
1.482763183593750000e+04,-6.179890155792236328e+00
1.483929492187500000e+04,-6.190381050109863281e+00
1.485096679687500000e+04,-6.186399459838867188e+00
1.486264746093750000e+04,-6.218718528747558594e+00
1.487433789062500000e+04,-6.208835124969482422e+00
1.488603710937500000e+04,-6.215090751647949219e+00
1.489774609375000000e+04,-6.200852394104003906e+00
1.490946386718750000e+04,-6.219618797302246094e+00
1.492119042968750000e+04,-6.245105266571044922e+00
1.493292675781250000e+04,-6.230518341064453125e+00
1.494467285156250000e+04,-6.239821910858154297e+00
1.495642773437500000e+04,-6.219500541687011719e+00
1.496819140625000000e+04,-6.230882644653320312e+00
1.497996484375000000e+04,-6.217424869537353516e+00
1.499174707031250000e+04,-6.246503829956054688e+00
1.500353906250000000e+04,-6.241096973419189453e+00
1.501533984375000000e+04,-6.263061046600341797e+00
1.502715039062500000e+04,-6.237534999847412109e+00
1.503896972656250000e+04,-6.268891811370849609e+00
1.505079882812500000e+04,-6.280001640319824219e+00
1.506263671875000000e+04,-6.241875648498535156e+00
1.507448437500000000e+04,-6.290603160858154297e+00
1.508634179687500000e+04,-6.292806148529052734e+00
1.509820800781250000e+04,-6.300632476806640625e+00
1.511008300781250000e+04,-6.291196346282958984e+00
1.512196777343750000e+04,-6.292245388031005859e+00
1.513386230468750000e+04,-6.342017650604248047e+00
1.514576562500000000e+04,-6.275913238525390625e+00
1.515767871093750000e+04,-6.331385612487792969e+00
1.516960058593750000e+04,-6.312417507171630859e+00
1.518153222656250000e+04,-6.318203926086425781e+00
1.519347363281250000e+04,-6.349207878112792969e+00
1.520542382812500000e+04,-6.327713966369628906e+00
1.521738378906250000e+04,-6.321059226989746094e+00
1.522935351562500000e+04,-6.332156181335449219e+00
1.524133203125000000e+04,-6.331171989440917969e+00
1.525332031250000000e+04,-6.334197521209716797e+00
1.526531738281250000e+04,-6.338264465332031250e+00
1.527732421875000000e+04,-6.366415023803710938e+00
1.528934082031250000e+04,-6.348295688629150391e+00
1.530136718750000000e+04,-6.326966285705566406e+00
1.531340234375000000e+04,-6.327752590179443359e+00
1.532544726562500000e+04,-6.329739570617675781e+00
1.533750097656250000e+04,-6.352552890777587891e+00
1.534956445312500000e+04,-6.365105628967285156e+00
1.536163769531250000e+04,-6.320852279663085938e+00
1.537372070312500000e+04,-6.343313217163085938e+00
1.538581347656250000e+04,-6.333609580993652344e+00
1.539791503906250000e+04,-6.364703178405761719e+00
1.541002636718750000e+04,-6.384518146514892578e+00
1.542214648437500000e+04,-6.361533164978027344e+00
1.543427734375000000e+04,-6.369014263153076172e+00
1.544641699218750000e+04,-6.372516155242919922e+00
1.545856640625000000e+04,-6.352968692779541016e+00
1.547072558593750000e+04,-6.384026527404785156e+00
1.548289355468750000e+04,-6.357467651367187500e+00
1.549507226562500000e+04,-6.368189811706542969e+00
